00:01:06:757 [ALWAYS]	GUDE Logging Started
00:01:06:758 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:01:06:758 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:01:06:758 [ERROR]	Initialize resume cache pointer failure
00:01:06:758 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
00:01:06:758 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
00:01:07:793 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
00:01:07:794 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:01:07:794 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:01:07:794 [ERROR]	Initialize resume cache pointer failure
00:01:07:794 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
00:01:07:794 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
